listing_month,units_sold,avg_sold_price,prev_month_units,mom_growth_pct
2024-01,450,363695.0,,
2024-02,421,376202.0,450.0,-6.4
2024-03,474,391910.0,421.0,12.6
2024-04,421,359313.0,474.0,-11.2
2024-05,474,395869.0,421.0,12.6
2024-06,446,368936.0,474.0,-5.9
2024-07,399,383715.0,446.0,-10.5
2024-08,486,390254.0,399.0,21.8
2024-09,428,381591.0,486.0,-11.9
2024-10,457,354448.0,428.0,6.8
2024-11,460,402368.0,457.0,0.7
2024-12,453,404924.0,460.0,-1.5
2025-01,457,376602.0,453.0,0.9
2025-02,437,402598.0,457.0,-4.4
2025-03,437,414110.0,437.0,0.0
2025-04,411,393084.0,437.0,-5.9
2025-05,352,406763.0,411.0,-14.4
2025-06,172,413022.0,352.0,-51.1
