brand,model,city,listing_date,duplicate_count
Mahindra,Scorpio,Pune,2024-09-24,3
Renault,Kwid,Hyderabad,2024-09-23,3
Renault,Kwid,Mumbai,2024-06-24,3
Renault,Triber,Bengaluru,2024-03-25,3
Ford,EcoSport,Ahmedabad,2025-03-29,2
Ford,EcoSport,Bengaluru,2024-02-07,2
Ford,EcoSport,Chandigarh,2025-02-01,2
Ford,EcoSport,Chandigarh,2025-05-11,2
Ford,EcoSport,Delhi NCR,2024-11-01,2
Ford,EcoSport,Hyderabad,2024-03-24,2
Ford,EcoSport,Jaipur,2024-11-09,2
Ford,EcoSport,Mumbai,2025-06-23,2
Ford,EcoSport,Pune,2024-12-26,2
Ford,Figo,Ahmedabad,2024-05-31,2
Ford,Figo,Delhi NCR,2025-02-12,2
Ford,Figo,Hyderabad,2025-06-13,2
Ford,Figo,Jaipur,2025-02-18,2
Ford,Figo,Kolkata,2024-07-25,2
Ford,Figo,Kolkata,2024-10-11,2
Ford,Figo,Kolkata,2025-03-27,2
Ford,Figo,Pune,2025-05-16,2
Honda,Amaze,Bengaluru,2025-01-02,2
Honda,Amaze,Chandigarh,2024-01-10,2
Honda,Amaze,Chandigarh,2024-06-28,2
Honda,Amaze,Jaipur,2024-06-27,2
Honda,Amaze,Mumbai,2025-06-03,2
Honda,City,Ahmedabad,2024-09-26,2
Honda,City,Bengaluru,2024-08-04,2
Honda,City,Chennai,2024-02-18,2
Honda,City,Kolkata,2024-11-11,2
Honda,Jazz,Bengaluru,2024-06-28,2
Honda,Jazz,Hyderabad,2024-07-06,2
Honda,Jazz,Jaipur,2024-06-15,2
Honda,Jazz,Mumbai,2025-01-28,2
Honda,Jazz,Pune,2025-02-14,2
Honda,WR-V,Bengaluru,2024-05-26,2
Honda,WR-V,Mumbai,2024-03-20,2
Hyundai,Creta,Bengaluru,2024-06-30,2
Hyundai,Grand i10,Delhi NCR,2024-12-24,2
Hyundai,Grand i10,Delhi NCR,2025-05-31,2
Hyundai,Grand i10,Pune,2024-04-01,2
Hyundai,Venue,Delhi NCR,2024-07-28,2
Hyundai,Verna,Delhi NCR,2024-08-25,2
Hyundai,Verna,Kolkata,2024-06-08,2
Hyundai,Verna,Pune,2025-05-27,2
Hyundai,i20,Bengaluru,2024-06-16,2
Hyundai,i20,Kolkata,2024-01-14,2
Kia,Carens,Ahmedabad,2024-06-06,2
Kia,Carens,Bengaluru,2024-11-12,2
Kia,Carens,Bengaluru,2025-05-19,2
Kia,Carens,Bengaluru,2025-05-21,2
Kia,Carens,Delhi NCR,2024-12-25,2
Kia,Carens,Hyderabad,2024-01-19,2
Kia,Carens,Hyderabad,2024-10-16,2
Kia,Carens,Pune,2025-03-09,2
Kia,Seltos,Chennai,2024-05-13,2
Kia,Seltos,Chennai,2024-10-15,2
Kia,Seltos,Delhi NCR,2024-08-15,2
Kia,Seltos,Delhi NCR,2024-08-25,2
Kia,Seltos,Hyderabad,2024-07-23,2
Kia,Seltos,Kolkata,2025-02-10,2
Kia,Seltos,Pune,2024-08-04,2
Kia,Sonet,Bengaluru,2024-11-07,2
Kia,Sonet,Chandigarh,2024-05-15,2
Kia,Sonet,Chandigarh,2025-05-10,2
Kia,Sonet,Hyderabad,2024-08-27,2
Kia,Sonet,Jaipur,2024-09-18,2
Kia,Sonet,Mumbai,2024-03-06,2
