listing_id,brand,model,city,year,car_age,km_driven,fuel_type,transmission,owner_count,mileage_kmpl,engine_cc,insurance_valid,selling_price
C24-10000,Kia,Seltos,Ahmedabad,2014,11,131243,Diesel,Manual,1.0,14.3,1000,Yes,210000.0
C24-10001,Toyota,Innova,Chandigarh,2012,13,154723,Petrol,Manual,,15.9,2200,Yes,192000.0
C24-10002,Tata,Harrier,Jaipur,2023,2,7786,Petrol,Automatic,1.0,22.5,1197,Yes,835000.0
C24-10003,Ford,Figo,Mumbai,2015,10,132646,Petrol,Manual,1.0,21.0,1000,Yes,187000.0
C24-10004,Toyota,Urban Cruiser,Chandigarh,2024,1,14592,CNG,Manual,1.0,16.5,2200,Yes,1240000.0
C24-10005,Kia,Sonet,Jaipur,2023,2,31101,CNG,Automatic,1.0,17.3,1197,Yes,818000.0
C24-10006,Kia,Carens,Kolkata,2021,4,48696,Petrol,Manual,1.0,16.8,1199,No,577000.0
C24-10007,Kia,Carens,Bengaluru,2024,1,500,Petrol,Automatic,1.0,17.6,1000,Yes,1264000.0
C24-10008,Volkswagen,Polo,Delhi NCR,2020,5,62368,Petrol,Manual,1.0,19.0,1199,Yes,442000.0
C24-10009,Honda,City,Delhi NCR,2018,7,81686,Petrol,Manual,1.0,13.7,800,Yes,308000.0
C24-10010,Maruti Suzuki,Swift,Bengaluru,2021,4,57142,Diesel,Manual,1.0,21.0,1498,Yes,453000.0
C24-10011,Mahindra,XUV300,Bengaluru,2014,11,143138,Diesel,Manual,2.0,15.9,1000,No,243000.0
C24-10012,Volkswagen,Polo,Mumbai,2014,11,126995,CNG,Automatic,4.0,15.9,1199,Yes,169000.0
C24-10013,Tata,Punch,Ahmedabad,2015,10,121219,Petrol,Automatic,1.0,19.2,800,Yes,180000.0
C24-10014,Volkswagen,Vento,Delhi NCR,2015,10,130745,Petrol,Manual,2.0,15.1,1197,Yes,222000.0
C24-10015,Tata,Altroz,Mumbai,2012,13,157175,Petrol,Manual,1.0,14.1,800,Yes,142000.0
C24-10016,Toyota,Fortuner,Bengaluru,2024,1,15785,Diesel,Automatic,4.0,17.7,1997,Yes,1582000.0
C24-10017,Renault,Kwid,Chennai,2019,6,69262,Diesel,Manual,1.0,13.4,1197,Yes,325000.0
C24-10018,Kia,Seltos,Chandigarh,2020,5,54136,Diesel,Automatic,1.0,18.8,1498,Yes,636000.0
C24-10019,Kia,Carens,Chennai,2024,1,6502,Petrol,Manual,3.0,16.3,800,Yes,1035000.0
C24-10020,Toyota,Glanza,Pune,2014,11,142907,Diesel,Manual,4.0,21.3,1199,Yes,216000.0
C24-10021,Toyota,Fortuner,Kolkata,2012,13,162819,Petrol,Manual,1.0,16.1,1199,Yes,173000.0
C24-10022,Kia,Carens,Hyderabad,2023,2,14531,Diesel,Manual,1.0,18.9,1197,Yes,1003000.0
C24-10023,Toyota,Glanza,Pune,2018,7,79168,Petrol,Manual,1.0,18.0,1199,Yes,513000.0
C24-10024,Maruti Suzuki,Dzire,Pune,2023,2,25815,Diesel,Manual,2.0,16.9,1498,No,474000.0
C24-10025,Hyundai,Verna,Bengaluru,2021,4,52730,Diesel,Manual,1.0,15.6,1000,Yes,555000.0
C24-10026,Volkswagen,Polo,Jaipur,2019,6,57698,Petrol,Manual,2.0,13.1,1197,No,329000.0
C24-10027,Maruti Suzuki,Swift,Pune,2022,3,44790,Diesel,Manual,1.0,16.4,2200,Yes,517000.0
C24-10028,Tata,Punch,Jaipur,2016,9,112992,Diesel,Manual,1.0,20.5,1199,Yes,165000.0
C24-10029,Volkswagen,Vento,Chandigarh,2018,7,98163,Diesel,Manual,1.0,16.0,2000,Yes,267000.0
C24-10030,Maruti Suzuki,Dzire,Delhi NCR,2015,10,130612,CNG,Automatic,1.0,14.2,1197,Yes,131000.0
C24-10031,Renault,Triber,Ahmedabad,2012,13,146624,Petrol,Manual,2.0,15.8,1199,Yes,79000.0
C24-10032,Toyota,Urban Cruiser,Chennai,2015,10,123789,CNG,Automatic,1.0,18.2,1498,Yes,339000.0
C24-10033,Renault,Triber,Ahmedabad,2016,9,101861,Petrol,Manual,1.0,17.4,1197,Yes,141000.0
C24-10034,Maruti Suzuki,Swift,Delhi NCR,2024,1,11017,Petrol,Manual,2.0,20.6,2000,Yes,647000.0
C24-10035,Maruti Suzuki,Baleno,Delhi NCR,2020,5,68297,Petrol,Automatic,4.0,19.1,1199,Yes,303000.0
C24-10036,Maruti Suzuki,Alto,Hyderabad,2016,9,115393,Electric,Manual,1.0,6.8,1197,Yes,178000.0
C24-10037,Hyundai,Grand i10,Ahmedabad,2017,8,88510,Petrol,Manual,2.0,22.7,1199,Yes,220000.0
C24-10038,Toyota,Innova,Mumbai,2023,2,24432,Diesel,Automatic,2.0,,1199,Yes,1403000.0
C24-10039,Kia,Sonet,Bengaluru,2021,4,61748,Diesel,Automatic,3.0,11.2,1199,No,684000.0
C24-10040,Tata,Nexon,Kolkata,2017,8,88735,Petrol,Manual,2.0,20.2,1197,No,227000.0
C24-10041,Toyota,Fortuner,Chandigarh,2012,13,156120,Petrol,Manual,1.0,21.1,1000,Yes,179000.0
C24-10042,Mahindra,Bolero,Ahmedabad,2024,1,13452,CNG,Automatic,4.0,14.9,1199,No,974000.0
C24-10043,Ford,EcoSport,Kolkata,2022,3,29757,Diesel,Automatic,1.0,17.5,1199,Yes,593000.0
C24-10044,Maruti Suzuki,Baleno,Jaipur,2015,10,130744,CNG,Manual,1.0,12.8,1498,Yes,131000.0
C24-10045,Hyundai,Venue,Ahmedabad,2020,5,71127,Petrol,Manual,1.0,15.4,1000,Yes,348000.0
C24-10046,Ford,EcoSport,Pune,2015,10,115385,Electric,Automatic,1.0,6.8,1498,No,280000.0
C24-10047,Renault,Triber,Pune,2012,13,168956,Petrol,Manual,1.0,21.9,1000,Yes,104000.0
C24-10048,Maruti Suzuki,Baleno,Ahmedabad,2023,2,29012,Petrol,Manual,1.0,13.9,1000,Yes,486000.0
C24-10049,Hyundai,Verna,Ahmedabad,2014,11,123809,Electric,Manual,1.0,6.5,1997,Yes,212000.0
C24-10050,Toyota,Innova,Hyderabad,2015,10,126561,Petrol,Manual,2.0,11.2,1199,Yes,279000.0
C24-10051,Maruti Suzuki,Swift,Kolkata,2019,6,78445,Petrol,Manual,2.0,12.1,1000,No,236000.0
C24-10052,Honda,City,Chennai,2022,3,48078,Diesel,Manual,3.0,19.6,1197,No,561000.0
C24-10053,Honda,WR-V,Mumbai,2015,10,112169,Petrol,Manual,1.0,14.9,1000,No,188000.0
C24-10054,Renault,Kwid,Ahmedabad,2019,6,86257,Petrol,Manual,3.0,20.4,1498,Yes,263000.0
C24-10055,Mahindra,Bolero,Kolkata,2021,4,58763,Petrol,Manual,3.0,18.2,1498,Yes,615000.0
C24-10056,Toyota,Fortuner,Jaipur,2021,4,46160,Petrol,Manual,1.0,20.5,1498,Yes,732000.0
C24-10057,Honda,Amaze,Hyderabad,2022,3,23974,CNG,Manual,2.0,16.9,1000,No,523000.0
C24-10058,Kia,Carens,Ahmedabad,2024,1,530,CNG,Manual,3.0,23.9,1498,Yes,928000.0
C24-10059,Mahindra,Bolero,Pune,2018,7,98544,Petrol,Automatic,2.0,20.1,1199,No,386000.0
C24-10060,Ford,EcoSport,Jaipur,2022,3,56570,Petrol,Manual,1.0,18.6,1199,No,532000.0
C24-10061,Honda,WR-V,Hyderabad,2018,7,87527,Petrol,Manual,3.0,19.3,1197,No,254000.0
