listing_id,brand,model,city,year,car_age,km_driven,fuel_type,transmission,owner_count,mileage_kmpl,engine_cc,insurance_valid,listing_date,asking_price,status,days_to_sell,sold_price
C24-10000,Kia,Seltos,Ahmedabad,2014,11,131243,Diesel,Manual,1.0,14.3,1000,Yes,2025-02-17,210000.0,Sold,8.0,206945.0
C24-10001,Toyota,Innova,Chandigarh,2012,13,154723,Petrol,Manual,,15.9,2200,Yes,2024-08-31,192000.0,Sold,37.0,191286.0
C24-10002,Tata,Harrier,Jaipur,2023,2,7786,Petrol,Automatic,1.0,22.5,1197,Yes,2024-02-04,835000.0,Sold,42.0,817713.0
C24-10003,Ford,Figo,Mumbai,2015,10,132646,Petrol,Manual,1.0,21.0,1000,Yes,2024-10-22,187000.0,Sold,59.0,175820.0
C24-10004,Toyota,Urban Cruiser,Chandigarh,2024,1,14592,CNG,Manual,1.0,16.5,2200,Yes,2025-02-22,1240000.0,Sold,22.0,1232654.0
C24-10005,Kia,Sonet,Jaipur,2023,2,31101,CNG,Automatic,1.0,17.3,1197,Yes,2025-04-06,818000.0,Sold,33.0,770770.0
C24-10006,Kia,Carens,Kolkata,2021,4,48696,Petrol,Manual,1.0,16.8,1199,No,2024-06-19,577000.0,Sold,4.0,533477.0
C24-10007,Kia,Carens,Bengaluru,2024,1,500,Petrol,Automatic,1.0,17.6,1000,Yes,2024-11-26,1264000.0,Sold,4.0,1251654.0
C24-10008,Volkswagen,Polo,Delhi NCR,2020,5,62368,Petrol,Manual,1.0,19.0,1199,Yes,2025-01-08,442000.0,Sold,5.0,422265.0
C24-10009,Honda,City,Delhi NCR,2018,7,81686,Petrol,Manual,1.0,13.7,800,Yes,2024-08-07,308000.0,Sold,1.0,301134.0
C24-10010,Maruti Suzuki,Swift,Bengaluru,2021,4,57142,Diesel,Manual,1.0,21.0,1498,Yes,2025-05-25,453000.0,Sold,1.0,422728.0
C24-10011,Mahindra,XUV300,Bengaluru,2014,11,143138,Diesel,Manual,2.0,15.9,1000,No,2024-12-03,243000.0,Sold,62.0,229864.0
C24-10012,Volkswagen,Polo,Mumbai,2014,11,126995,CNG,Automatic,4.0,15.9,1199,Yes,2024-01-09,169000.0,Sold,11.0,159531.0
C24-10013,Tata,Punch,Ahmedabad,2015,10,121219,Petrol,Automatic,1.0,19.2,800,Yes,2024-12-03,180000.0,Sold,23.0,173542.0
C24-10014,Volkswagen,Vento,Delhi NCR,2015,10,130745,Petrol,Manual,2.0,15.1,1197,Yes,2024-01-22,222000.0,Sold,9.0,204719.0
C24-10015,Tata,Altroz,Mumbai,2012,13,157175,Petrol,Manual,1.0,14.1,800,Yes,2024-01-17,142000.0,Sold,201.0,136661.0
C24-10016,Toyota,Fortuner,Bengaluru,2024,1,15785,Diesel,Automatic,4.0,17.7,1997,Yes,2024-09-12,1582000.0,Sold,8.0,1534832.0
C24-10017,Renault,Kwid,Chennai,2019,6,69262,Diesel,Manual,1.0,13.4,1197,Yes,2024-04-13,325000.0,Sold,30.0,306735.0
C24-10018,Kia,Seltos,Chandigarh,2020,5,54136,Diesel,Automatic,1.0,18.8,1498,Yes,2025-04-15,636000.0,Sold,1.0,606547.0
C24-10019,Kia,Carens,Chennai,2024,1,6502,Petrol,Manual,3.0,16.3,800,Yes,2025-03-19,1035000.0,Sold,5.0,966452.0
C24-10020,Toyota,Glanza,Pune,2014,11,142907,Diesel,Manual,4.0,21.3,1199,Yes,2024-02-27,216000.0,Sold,2.0,215561.0
C24-10021,Toyota,Fortuner,Kolkata,2012,13,162819,Petrol,Manual,1.0,16.1,1199,Yes,2025-05-02,173000.0,Active,,
C24-10022,Kia,Carens,Hyderabad,2023,2,14531,Diesel,Manual,1.0,18.9,1197,Yes,2025-03-28,1003000.0,Sold,10.0,995149.0
C24-10023,Toyota,Glanza,Pune,2018,7,79168,Petrol,Manual,1.0,18.0,1199,Yes,2024-01-16,513000.0,Sold,1.0,486635.0
C24-10024,Maruti Suzuki,Dzire,Pune,2023,2,25815,Diesel,Manual,2.0,16.9,1498,No,2024-10-11,474000.0,Sold,1.0,470178.0
C24-10025,Hyundai,Verna,Bengaluru,2021,4,52730,Diesel,Manual,1.0,15.6,1000,Yes,2025-05-07,555000.0,Sold,52.0,553260.0
C24-10026,Volkswagen,Polo,Jaipur,2019,6,57698,Petrol,Manual,2.0,13.1,1197,No,2025-06-08,329000.0,Active,,
